economy,inflation_rate,unemployment_rate,exports_percent_gdp,imports_percent_gdp,gross_savings_percent_gdp,education_expenditure_percent_gdp,health_expenditure_percent_gdp,urban_population_percent,manufacturing_percent_gdp,industry_value_added_percent_gdp,medical_doctors,life_expectancy,infant_mortality_rate,probability_of_dying,log_gdp_per_capita,log_manufacturing_value_added_per_capita,log_air_pollution
ABW,11.25039431437383,8.89113,74.91167866283767,78.54714599727261,11.51579036280146,3.61855755636695,6.06594137345,44.0686,7.8963253269291585,19.97680422579216,13.055999999999997,67.093129094,27.0031689697,21.32,10.26294639642391,19.29263559638535,7.45464494655136
AFE,6.994467256927774,8.066600270378569,25.53358471075482,28.0299798546774,19.890166501863145,4.029726492149763,5.905217603814448,37.91213823029453,10.59398615816186,26.38786613526936,20.038,71.113026885,20.804693504800003,19.09,7.323592317480368,25.491342956026546,8.632938258491322
AFG,2.640259869272658,13.018,14.998950114598848,44.6489863070085,-2.73776944122657,3.275618065505647,18.7403910175,26.6308,8.43811256717667,14.1816117638069,3.17,60.98603789,53.768424808,32.7,6.017560031911686,21.038837578188623,8.563517842514177
AFW,4.654425260102642,3.948651306178212,59.056088963747165,52.68184824393967,26.6859599923247,3.15074373629509,3.896020126615505,49.116983707836695,12.55747643146414,28.808896590588937,27.195999999999998,72.441722889,19.5253434444,18.779999999999994,7.3940271322502555,25.34560624167593,8.283791454366408
AGO,22.253144186334215,15.2184,41.8333335708139,26.045728443458263,32.2542234034848,2.46568496233736,2.94255495,68.06700000000001,7.460300075718716,45.55385896768696,2.44,64.25583857,38.27140163,24.7,7.672488879775182,22.48022310222535,8.29384861989882
ALB,3.47236294318002,10.7318,33.129102091034824,43.14560451833442,20.7661199083039,3.0379750132560703,6.989711997500001,63.7726,6.907922946878618,22.87068087950706,18.79,78.6123883,7.446014204,10.0,8.915225043433566,21.066631261824917,8.018856916691414
AND,11.628962725901827,9.739929999999998,48.73883303458753,57.49120964563387,16.452029138851948,2.3900030377652675,7.981898402000001,87.8212,3.692598812777835,12.269876963810798,50.68,67.76977864900002,2.175898501,20.970000000000002,10.684288269062186,18.628744551170993,7.425318970894482
ARB,3.076858441175136,10.24229549420664,43.180410809510626,37.122899847144495,29.025656701546826,3.76860740670194,5.095450427718642,59.112918040024525,11.96665989277018,43.12924075521776,21.549,71.566774342,21.128122627200003,18.48,8.86337950015596,26.718458893462735,9.777986935310752
ARE,1.336366334982986,2.911,103.764091697624,86.90277900290076,27.274278197272174,3.93910503387451,5.0520339,87.53540000000001,10.240017439584314,47.03008446932888,29.92,80.01707319,4.331527991,9.3,10.73141131657515,24.544410123214362,2.096790180014449
ARG,103.24561910074956,8.2034,15.80072351436198,14.1252784753002,16.556619456431783,5.155250108587793,10.1267981525,92.3458,15.57102990142828,23.79269130134252,51.06,71.59453095,8.889419737,10.9,9.413444225035308,25.191706581299854,7.65623403906922
ARM,3.85742278339431,14.719399999999998,50.33912220866156,54.14574712563626,19.54960346591996,2.60100245475769,11.47629428,63.597,11.16458257423046,25.04187921280664,33.6,68.59850963,7.981468579,30.0,8.768938645882338,21.471069050879315,5.313348825981534
ASM,7.093938868437033,8.74203,50.149162576463,88.46857175412457,19.120056938830494,5.278797266142713,5.74957006075,87.2074,3.4103136351130403,11.46853474036862,10.951,68.207852973,24.3160045968,26.130000000000003,9.675035730631631,16.928128222344764,7.388476518904003
ATG,4.297214016181245,8.578970000000002,47.85698076594783,56.49902531392886,19.745092923866842,2.78072403798006,5.2145081775,24.3658,2.74742164512344,20.062377777045125,29.17,76.91527032,7.880837753,11.6,9.88378212568579,17.666642723689446,0.15529288440603534
AUS,3.8127083762716607,4.608,24.62389072079676,20.84173320678314,24.2274349517168,5.262166817982993,10.3063459375,86.49159999999999,5.47010945150041,26.38173537649746,40.86,84.89781796,2.875502509,6.6,11.024007235343877,25.200831447241058,6.67083475956853
AUT,4.689499428978392,5.471,57.19342522500479,55.34923801178936,27.6813682809166,5.4459366798400906,11.198265076,59.2696,16.192259385909217,24.977785489750197,55.15,83.30324613,2.402026116,7.4,10.887113754378381,25.08310507252375,7.685604755989332
AZE,6.851993999857116,6.032,47.39962219289116,32.90293018012412,30.9854021741777,3.6862574815750127,4.6734344975,57.183400000000006,5.635232951017858,47.07481183880556,31.85,72.9129401,14.211105256,15.1,8.758739621712062,21.99858262935029,6.703615015969955
BDI,16.336099926088615,0.9772,4.952414050627548,23.4586566154957,11.063775237403208,5.0963634036555305,9.2896373275,14.4254,6.390225489358643,10.403432785998625,0.78,62.04709297,31.460824111,26.2,5.323730055334241,18.878171947522986,6.709666469803431
BEL,3.9942108387052024,5.675800000000001,85.49247283294088,85.24461054318854,25.12397581125778,6.47126340866089,10.9584202775,98.1524,11.36902748519544,18.542119264813643,65.25,79.28523112,2.695558167,9.2,10.855286277898966,24.95333097865342,5.786078027382983
BEN,2.00133422797562,1.669,20.0900565319561,24.42446749908978,25.790989034950524,3.0807295471041427,2.6206537475,49.538,9.845537637073262,16.892360299884338,2.16,61.71936134,41.429104263,20.8,7.1959118878692525,21.31918856886526,7.254362412167208
BFA,3.242928498962943,5.2286,30.733681005577,32.51725478644882,16.975517075593675,5.270690545109055,6.2811186325,31.882,10.291375130950325,29.1292293349923,1.48,62.29728841,44.803785879,21.3,6.787146163222192,21.442468916914727,6.977855803461621
BGD,7.856586948219818,4.898,11.52122905386406,17.58606436618322,35.29474381782056,2.11851239262263,2.321040215,39.70739999999999,21.56676072107338,33.76783743092166,7.22,73.10251672,26.003526196,16.3,7.831825250492441,25.24906879747178,8.752397162610768
BGR,6.436961015787171,4.6166,61.18285990274384,58.67284883827914,20.149981297057757,4.564433415730793,7.9643096925,76.36240000000001,12.125503457072083,22.602285353783863,43.28,71.30586,4.5622918,25.6,9.561604245078748,23.11456513045632,4.590259573252337
BHR,0.3391943005254287,1.3808,85.01029096233732,68.45205837088062,34.2810460754826,1.87722035661242,4.2522783275,89.7478,19.9101818710842,43.28607389968305,7.41,75.09466059,6.931431855,14.8,10.249234651230543,22.859681729398638,4.482968653134239
BHS,2.40218366838027,9.8874,32.799781511722685,37.42585715956882,14.453552093338764,3.031753866187475,6.920926335,83.4982,1.2825282882611986,10.574827975201156,18.95,70.43274063,11.365536785,20.4,10.42937515388736,18.904340705810814,0.0880108773227133
BIH,4.549843109079684,12.9626,42.362924444704774,55.31607297589958,21.35454154336672,3.3428872514667747,9.22503829,49.8526,13.17392872072618,23.79985246899112,25.84,77.19796586,4.896030499,21.7,8.954328671184125,21.907538985386264,5.263342825632131
BLR,8.200804176014056,3.669,65.19714254383288,62.497888573669954,26.68764327921968,4.762189984321595,6.373027205,80.315,22.14205528806972,31.78563441253114,47.17,73.12324771,1.664756735,23.8,8.942346526905308,23.47354564588451,3.3332396884789284
BLZ,3.4626728931730875,9.0272,48.5045735701551,50.54521776724042,21.55450171957225,4.926872542608036,4.872220395,46.413599999999995,6.518560097086848,15.763103091121224,10.86,71.36484263,9.675644416,15.4,8.833839843616534,18.942965466738887,2.4294820261823964
BMU,8.181562433580188,8.327609999999998,50.375093614854464,23.60655937863474,41.96444037649835,1.833734757306585,6.389569509999999,100.0,0.3424650888278689,5.224296257525275,17.386000000000003,67.642731134,27.1288359835,21.08,11.716519101286744,17.081785141350633,7.473192148641748
BOL,2.2202216584719947,4.5318,26.56043259149713,30.6242666401042,13.0767453205031,8.07266269241639,7.8754172325,70.8318,10.53888546581085,25.0710319633785,12.84,62.87421268,20.037693808,19.9,8.178706498382372,22.197560726982697,7.9542019630862155
BRA,5.95091215656292,10.3334,18.23555033366334,17.35883473720296,15.44843179737024,5.629236698150634,9.504249095,87.5498,12.26104329061888,21.58428916717562,23.57,69.04410946,12.461936302,12.0,9.104779123269537,26.18041040491998,7.733390182733081
BRB,4.664920801454141,8.5964,49.43037856936418,57.731179290268166,17.828023719958388,3.9669243484721664,6.906762005,31.3468,5.546495095117935,13.66790520415995,29.58,78.40878662,9.300465991,12.6,9.983986243338537,19.60069343666857,2.625175709934015
BRN,1.464874860624077,5.5664,74.98317321470732,59.91177376600408,48.88226336495923,3.556519868352204,2.1609083125,78.8492,9.90920411122503,62.64397056921814,18.86,76.92260844,7.64916402,13.0,10.378401829361506,21.11363462722693,1.6908335506380945
BTN,5.121201248231514,4.3524,27.77288809243755,51.36424832865845,21.758887330998377,6.345828424464935,3.72949773,43.672,7.2315710883599875,31.19805133529445,5.53,75.9397559,16.757784017,14.7,8.182909861737567,19.13487757467221,5.289094970685894
BWA,5.736574222625868,22.8514,35.00867638061228,42.55387598667734,32.3800935574235,8.05833660991541,6.0698014525,72.20360000000001,5.488620714319918,32.12400330864632,3.79,59.22470805,34.057250457,17.6,8.935547945402707,20.74091431366581,4.612423814699399
CAF,3.2018325311739084,6.0606,14.1196480076479,31.92385268080768,18.99636204832292,1.9905619842094275,8.9636878975,43.142,18.183650859204025,20.34147495034618,0.74,49.57149039,60.413259203,35.5,6.190172510798739,19.91311683990183,6.0866224425903654
CAN,3.435115880339042,6.865600000000001,32.08062552876094,32.4258933840302,22.08994644779138,4.83892329533895,11.792081642,81.7618,9.135009815171957,23.8916824186298,28.19,81.58276248,4.088473209,7.7,10.863562598370008,25.8485081097954,8.447721348097733
CEB,6.46417606558615,4.137582232704286,62.262192297771776,60.65063414702318,21.74146706813184,4.54185167948405,7.096151987470525,62.85561925048262,16.19152530146498,26.91424114845476,22.607,71.78205208699998,19.9309002491,16.59,9.929469928618557,26.528035062156555,8.361641206886665
CHE,1.177741704310162,4.421,71.36933227554275,60.57428551518308,32.64720359081688,5.079346656799316,11.78527999,74.1064,18.12804964264608,24.88048818857684,44.77,85.11479877,3.782055256,7.5,11.468479711407022,25.752277175571557,5.72969060836397
CHI,9.147003269864966,6.4656,31.673378940952762,55.536706073321604,20.6249659783551,3.80577226432014,5.784150788301455,31.0936,0.841597430573078,8.280519582981233,8.305,64.577846221,33.552565067399996,23.04,11.104651022204038,18.353087760606076,7.49893446056429
CHL,6.218649474299112,9.3066,32.69283940625832,31.87645430670076,18.9114288186752,5.175566673278807,9.76625843,87.9168,9.083821441395298,30.12230726318474,33.34,79.02404788,5.70803058,7.6,9.661533060591049,24.052713413744193,4.891919323391271
CHN,1.165395670969084,4.7542,19.430588887340058,16.83020598204722,43.8751466433213,4.00127983093262,5.4242419,63.5228,25.9012870212327,37.2293447480739,31.12,80.52324523,4.222509293,20.1,9.437393575570564,29.15402613862488,13.428672292070198
CIV,3.9293231848819383,2.4156,23.88127919988584,25.43740849889172,18.544763278229777,3.513017535209655,3.5542342075,52.668000000000006,12.88803743471654,22.1754535573148,1.66,63.5174083,52.325614842,23.9,7.802916349413373,22.988628525903394,7.427289274570547
CMR,4.574114019253166,3.7254,16.48355347777644,20.48848095942926,14.565928898741774,2.862952261292135,4.1714625949999995,58.729600000000005,13.44690224753852,25.16440061993574,1.36,63.72440802,41.249901262,23.4,7.419025221366166,22.550060519374348,8.231650961201487
COD,7.550372471740428,4.837400000000001,40.988989135530865,43.13277057610692,26.64979201455772,2.70926274625788,3.737155795,46.8418,17.94153036669136,45.45150993765492,2.08,63.9117742,44.471651143,25.1,6.394927298853176,23.121796046691735,8.551042388388101
COG,2.78952790348606,20.7716,53.408666578553905,35.0738700002769,33.97451137255065,3.4005846956408723,3.012776435,68.73479999999999,12.8531970155196,42.28724141827246,1.73,63.7945013,30.432772177,21.2,7.791176864161347,21.111308719525795,5.649734512459728
COL,6.908782872321893,11.926,16.7824294249179,23.15241020090512,13.40850083914878,5.26166009902954,8.155378914,82.0442,10.80898790921936,24.37663591964316,25.35,77.62156214,12.060620088,9.1,8.799739451504953,24.335779302112858,8.771070155817362
COM,5.555415912009691,4.0664,9.760434223526186,33.4882426632423,11.504717590225544,2.3565044687986427,6.474235895,29.881400000000003,6.63066719120156,9.238486302006942,4.24,68.72786745,35.653873908,19.9,7.392659302447291,18.446868236411632,3.846865626170718
CPV,3.034284645049966,12.9522,33.60161846707278,54.90185167240336,18.12953507853212,5.58061273717524,6.273830415,67.5386,4.976205895663888,11.90532444900112,7.3,73.16097765,11.013621042,17.2,8.388137650462388,18.543864074023855,1.249615162204637
CRI,2.167700887839343,11.8138,37.58709537701458,33.80331941053728,14.48216552517018,6.438699960708615,7.4604233475,82.0054,13.43741358151288,20.357251596067577,26.87,81.50602905,9.175243206,8.6,9.60766912035588,23.04158574371239,5.190375744922511
CSS,2.8997012268087357,8.60776382051832,40.68926719180986,39.16244481297214,22.970364596594695,3.2366149425506574,6.337082699316397,48.68225912331164,8.992164322748746,30.889660818784,14.451999999999998,68.391267666,22.2802254816,21.25,9.691236018965638,22.526656804055822,7.579924707056676
CUB,9.475976596281006,1.885,31.76773903180731,42.657899158664485,22.53781703997119,9.783847991251749,12.2863855375,77.4134,11.445047160330024,24.41819441280927,95.42,71.12595537,6.588574695,13.9,9.170170378468796,23.209846085569612,4.858897257059919
CUW,8.031946393609713,6.82285,33.96412949844683,52.08679665169389,17.777954132334212,6.024720787325616,6.709506610950001,89.0362,2.6537346874146275,11.574561278767147,8.062,65.377332937,27.0031689697,22.939999999999998,9.850924841381229,18.16013442003473,7.477251183141665
CYM,12.400243931775332,9.270169999999998,59.6335983892308,45.8391910760943,18.978999002161725,1.4567825198173523,6.9831280002,100.0,0.958984140494783,8.233335073868487,14.441999999999998,68.672681421,24.3607894434,21.449999999999996,11.404039016181857,17.88655025020707,7.411050540607256
CYP,3.1089441854947752,6.7548,93.97521672922318,91.66406036338014,12.31773329027256,5.127649943033854,8.54305768,66.9314,4.688816685935306,11.08674991404492,35.56,81.912741,3.069131399,5.8,10.44283116098871,21.09829719476327,5.822021702537383
CZE,7.039575501682487,2.5324,69.78755010480725,65.22092716488127,28.07418681242052,4.526529947916667,8.712359716,74.3884,19.97699837571188,29.61249270672734,43.52,80.27144322,1.817624728,18.7,10.259442038908366,24.83656719244508,6.203087996122274
DEU,3.6574107597274943,3.4137999999999997,42.621980365951245,38.44957573413844,27.8457939906768,5.374169985453286,12.342410278,77.661,18.356104106678877,25.900072012910694,45.34,80.49140555,2.852591608,14.7,10.85544330516954,27.400132208406202,7.26973860847834
DJI,2.34215122316465,26.7434,145.9853964691118,131.03386806263958,10.578083030845642,3.521294221677202,2.5280355225,78.3886,4.851638563471262,14.95638694627032,2.11,66.72945196,40.145461647,19.3,8.0648281834916,18.951840385965646,3.803947696941611
DMA,2.8021187040846725,8.74203,24.140222392835806,73.37034505912335,19.120056938830494,5.30725872952883,5.9829655875,71.7006,3.8642314697840137,12.88344179734976,11.58,66.35681783000001,31.007152116,29.120000000000005,9.123715561028545,16.99130880163504,7.388605186610062
DNK,2.9295406045929573,5.159000000000001,64.41948137675278,56.34095792227644,33.17461812402748,6.900256474812827,10.102395056,88.3688,14.23735095615922,21.53387992877916,44.98,82.90091898,3.022083077,10.7,11.124657912087798,24.77140514445123,6.8826497561560664
