economy,gdp_current_usd,gdp_per_capita,inflation_rate,unemployment_rate,trade_percent_gdp,exports_percent_gdp,imports_percent_gdp,gross_savings_percent_gdp,education_expenditure_percent_gdp,health_expenditure_percent_gdp,population,urban_population_percent,manufacturing_value_added_per_capita,manufacturing_percent_gdp,industry_value_added_percent_gdp,medical_doctors,life_expectancy,infant_mortality_rate,probability_of_dying,air_pollution
ABW,3084805095.2117124,28650.0793884838,,,153.45882466011025,74.91167866283767,78.54714599727261,11.51579036280146,3.61855755636695,,107716.0,44.068599999999996,,,,,,,,
AFE,1110088567770.5615,1514.638857960048,6.994467256927774,8.066600270378569,55.15728502272752,25.53358471075482,28.0299798546774,19.890166501863142,4.029726492149763,5.905217603814448,731831360.6,37.912138230294524,117692715161.04709,10.59398615816186,26.38786613526936,,,,,
AFG,16466350750.557674,409.57558124653747,2.640259869272658,13.018,59.64793642160737,14.998950114598848,44.6489863070085,-2.73776944122657,,18.7403910175,40750097.2,26.6308,1371042967.7209826,8.43811256717667,14.1816117638069,3.17,60.98603789,53.768424808,32.7,5236.072
AFW,806760763085.4119,1625.242035335786,4.654425260102642,3.948651306178212,,,,,3.15074373629509,3.896020126615505,497808038.6,49.116983707836695,101731847424.82907,12.55747643146414,28.808896590588937,,,,,
AGO,76935708496.66544,2147.4219605067838,22.253144186334218,15.218399999999999,67.87906201427215,41.8333335708139,26.045728443458263,32.2542234034848,2.46568496233736,2.94255495,35650869.0,68.06700000000001,5794778567.514092,7.460300075718716,45.55385896768696,2.44,64.25583857,38.27140163,24.7,3998.196
ALB,20603124966.688316,7443.457266741895,3.47236294318002,10.7318,76.27470660936926,33.129102091034824,43.14560451833442,20.7661199083039,3.0379750132560703,6.989711997500001,2777558.6,63.7726,1409683800.348448,6.907922946878618,22.87068087950706,18.79,78.6123883,7.446014204,10.0,3036.703
AND,3484234594.81185,43663.39411802326,,,,,,,2.3900030377652675,7.981898402000001,79648.6,87.8212,123129172.23431626,3.692598812777835,12.269876963810798,50.68,,2.175898501,,
ARB,3344736848308.0757,7067.3298480477215,3.076858441175136,10.242295494206639,82.271672423704,43.180410809510626,37.122899847144495,29.025656701546826,3.76860740670194,5.095450427718642,472081539.4,59.112918040024525,401494187577.5698,11.96665989277018,43.12924075521776,,,,,
ARE,463718601012.9342,45770.24417950008,1.336366334982986,2.911,190.66687070052475,103.764091697624,86.90277900290076,,3.93910503387451,5.0520339,10082379.8,87.53540000000001,45656422457.45405,10.240017439584314,47.03008446932888,29.92,80.01707319,4.331527991,9.3,7.14
ARG,556887326807.7878,12250.997023776898,103.24561910074956,8.2034,29.9260019896622,15.80072351436198,14.1252784753002,16.556619456431783,5.155250108587793,10.126798152500001,45429342.0,92.3458,87220617687.89145,15.57102990142828,23.792691301342522,51.06,71.59453095,8.889419737,10.9,2112.782
